Freq,Amp,Phase
1.645931734769845,-18.046776656057784,0.444352930575021
0.8133410244155742,-10.863936586805632,-0.9174295342357109
0.6302993303548048,6.846019709653508,2.6702833404558044
0.1367666352743611,4.6291466176022755,2.874261333420409
1.1060721120886943,-4.0692326548299915,-2.35087922267818
0.708150878286755,3.7300404492457924,0.2791568995166557
0.28595251847627967,3.9166772159612506,-2.0401709263471375
0.3933768971187055,-2.935505967987249,3.725250126682096
0.8751478657552858,2.8923960332785046,1.0005405264361302
0.4395742527541057,2.6314589133264064,-2.8991065528144593
1.214212057251032,2.3911359610312815,2.1934887558302933
3.2935431362453036,-2.3094945463771364,-1.3848822043090507
2.46290218908186,2.2814369357576583,4.887198682839878
1.3606224374396199,2.1070278806044875,1.053503116433983
1.5124359575881845,-1.733621588446162,2.618849917455178
1.0251335869148912,-1.7407213768057117,-6.085257075452161
1.4275294851509157,-1.4964467912850388,4.992229485626796
0.07074645093418117,-1.6350060328480824,-1.9191703421930086
0.9355418409830224,-1.5138920036787775,3.0836724220286214
